id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
518,Le Pain Quotidien,19.1186578,72.91137245,"Hotel Rodas, Central Avenue, Hiranandani Gardens,Powai, Mumbai",Powai, Mumbai,2000,4.1,yes,yes,yes,yes,no,no
519,Jai Jawan,19.06425245,72.83480477,"Linking Road, Bandra WestOpposite National College, Next to Chappal Market,","Linking Road, Bandra West", Mumbai,600,4.2,no,no,no,no,no,no
520,Home Deli,19.01413107,72.82755744,"150, Mankar Building, NearPrabhadeviTemple, Prabhadevi, Mumbai",Prabhadevi, Mumbai,700,3.7,yes,no,no,no,no,no
521,Sudama - All Veg,18.9623735,72.8142973,"Krishna Palace Hotel, 96/98, Sleater Road, Nana Chowk,Grant Road, Mumbai",Grant Road, Mumbai,800,3.9,yes,no,no,no,yes,no
522,Backstage Cafe,19.13444456,72.82543011,"Mhada Road Junction, Before Versova Telephone Exchange,4 Bungalows, Mumbai",4 Bungalows, Mumbai,1200,3.6,yes,yes,yes,no,yes,no
523,Cafe 123,19.04920977,72.82912016,"Reclamation, Bandra West13, Building 3, Candies Lane, Opposite Lilavati Photo,","Reclamation, Bandra West", Mumbai,1000,3.8,yes,yes,no,yes,no,no
524,Rajdhani,19.09947072,72.91604787,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,950,3.7,yes,no,no,no,no,no
525,Three Chicks and A Bear,19.0016634,72.8295767,"Lodha Supremus, Survey 453, Senapati Bapat Marg, Railway Colony,Lower Parel, Mumbai",Lower Parel, Mumbai,800,4.2,no,no,no,no,no,no
526,Above & Beyond,19.12374969,72.86421519,"Ramanna Compound, Opposite Apollo Clinic,MahakaliCaves Road, Mahakali, Mumbai",Mahakali, Mumbai,900,3.9,no,yes,no,no,no,no
527,Amuse,19.17843756,72.83666052,"Next to Hyundai Showroom, Near Vijay Industrial Estate, Link Road,Malad West, Mumbai",Malad West, Mumbai,1200,3.9,no,yes,yes,no,yes,no
528,K. Rustom Ice Cream,18.93320978,72.82507841,"87 Stadium House, Opposite Ambassador Hotel, Veer Nariman Road,Churchgate, Mumbai",Churchgate, Mumbai,150,4.3,no,no,no,no,no,no
529,Crystal,18.956288,72.8119455,"19, Easter Emporium, Near Wilson College,Chowpatty, Mumbai",Chowpatty, Mumbai,250,4.2,no,no,no,no,no,no
530,Cheelizza,19.21305875,72.84178019,"36, Ground Floor, Raj Arcade, Near Jain Temple, Mahavir Nagar,Kandivali West, Mumbai",Kandivali West, Mumbai,500,3.8,yes,no,no,no,no,no
